temperature_c,elapsed_minutes,delay_minutes,delayed_this_minute,distance_remaining_km,risk_score,anomaly_score,confidence,remaining_safe_minutes,label_escalate,risk_level_now
5.97,100,87,1,1.32,2.2,0.7,0.59,260,0,HIGH
6.01,101,88,1,1.32,2.2,0.7,0.59,259,0,HIGH
5.84,102,89,1,1.32,2.2,0.7,0.59,258,0,HIGH
5.91,103,90,1,1.32,2.2,0.7,0.59,257,0,HIGH
5.96,104,91,1,1.32,2.2,0.7,0.59,256,0,HIGH
5.83,105,92,1,1.32,2.2,0.7,0.59,255,0,HIGH
5.7,106,93,1,1.32,2.2,0.7,0.59,254,0,HIGH
6.16,107,94,1,1.32,2.2,0.7,0.59,253,0,HIGH
6.61,108,95,1,1.32,2.2,0.7,0.59,252,0,HIGH
6.76,109,96,1,1.32,2.2,0.7,0.59,251,0,HIGH
6.72,110,97,1,1.32,2.2,0.7,0.59,250,0,HIGH
6.76,111,98,1,1.32,2.2,0.7,0.59,249,0,HIGH
6.69,112,99,1,1.32,2.2,0.7,0.59,248,0,HIGH
6.65,113,100,1,1.32,2.2,0.7,0.59,247,0,HIGH
6.67,114,100,0,1.01,2.2,0.7,0.59,246,0,HIGH
6.62,115,101,1,1.01,2.2,0.7,0.59,245,0,HIGH
6.64,116,102,1,1.01,2.2,0.7,0.59,244,0,HIGH
6.61,117,103,1,1.01,2.2,0.7,0.59,243,0,HIGH
6.66,118,104,1,1.01,2.2,0.7,0.59,242,0,HIGH
6.52,119,105,1,1.01,2.2,0.7,0.59,241,0,HIGH
6.32,120,105,0,0.7,2.2,0.7,0.59,240,0,HIGH
6.31,121,105,0,0.39,2.2,0.7,0.59,239,0,HIGH
6.22,122,105,0,0.0,2.2,0.7,0.59,238,0,HIGH
